Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/f_to_c_model:predict/v1/models/f_to_c_model:predict,94,94,2,2.262532701895404,1.334472995949909,6.1273660030565225,0.0,0.35526263753477766,0.35526263753477766,2,2,2,3,3,3,3,6,6,6,6
,Aggregated,94,94,2,2.262532701895404,1.334472995949909,6.1273660030565225,0.0,0.35526263753477766,0.35526263753477766,2,2,2,3,3,3,3,6,6,6,6
