Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/convert?fahrenheit=100,127,0,5,6.5232773390383185,3.4608339992701076,188.74960300308885,62.0,0.5588420241126825,0.0,5,5,5,5,6,9,12,13,190,190,190
,Aggregated,127,0,5,6.5232773390383185,3.4608339992701076,188.74960300308885,62.0,0.5588420241126825,0.0,5,5,5,5,6,9,12,13,190,190,190
